Building ID,Region,State,Month,Year,Category,Designation,GSF,Elec Amt,Elec Cost,Dmd Amt,Dmd Cost,Steam Amt,Steam Cost,Gas Amt,Gas Cost,Oil Amt,Oil Cost,CWater Amt,CWater Cost,Ren Elec Amt,Ren Elec Cost,Ren Gas Amt,Ren Gas Cost,Water Amt,Water Cost,Weather Station,HDD,CDD,Use Type,Year Built,Portfolio Manager ID,Portfolio Manager Meter ID,Postal Code
MA0011ZZ,1,Massachusetts       ,1,2015,A,"Y, X",176014,119120,17933,0,0,4,1809,94600,1065,0,0,0,0,8934,13,0,0,65450,645,KBOS      ,275,9,,,,,
MA0011ZZ,1,Massachusetts       ,2,2015,A,"Y, X",176014,98520,13833,0,0,336,8236,93600,1053,0,0,0,0,7389,11,0,0,63954,990,KBOS      ,675,0,,,,,
MA0011ZZ,1,Massachusetts       ,3,2015,A,"Y, X",176014,101960,15941,0,0,385,8328,141900,1568,0,0,0,0,7647,11,0,0,74576,1350,KBOS      ,831,0,,,,,
MA0011ZZ,1,Massachusetts       ,4,2015,A,"Y, X",176014,120400,17489,0,0,491,12769,120300,1344,0,0,0,0,9030,14,0,0,64178,1529,KBOS      ,1205,0,,,,,
MA0011ZZ,1,Massachusetts       ,5,2015,A,"Y, X",176014,113320,19086,0,0,669,23948,124900,1392,0,0,0,0,8499,13,0,0,44880,845,KBOS      ,1291,0,,,,,
MA0011ZZ,1,Massachusetts       ,6,2015,A,"Y, X",176014,109240,18687,0,0,499,13682,142500,1577,0,0,0,0,8193,12,0,0,51986,1695,KBOS      ,983,0,,,,,
MA0011ZZ,1,Massachusetts       ,7,2015,A,"Y, X",176014,107400,14650,0,0,243,5070,81500,922,0,0,0,0,8055,12,0,0,57970,1074,KBOS      ,507,0,,,,,
MA0011ZZ,1,Massachusetts       ,8,2015,A,"Y, X",176014,115160,14597,0,0,7,1855,37500,462,0,0,0,0,8637,13,0,0,68068,1248,KBOS      ,142,59,,,,,
MA0011ZZ,1,Massachusetts       ,9,2015,A,"Y, X",176014,120480,17255,0,0,0,1799,124800,1411,0,0,0,0,9036,14,0,0,83402,1381,KBOS      ,106,91,,,,,
MA0011ZZ,1,Massachusetts       ,10,2015,A,"Y, X",176014,145760,25126,0,0,0,1799,197000,1726,0,0,0,0,10932,16,0,0,108460,2112,KBOS      ,1,280,,,,,
MA0011ZZ,1,Massachusetts       ,11,2015,A,"Y, X",176014,142400,26631,0,0,0,1799,0,0,0,0,0,0,0,0,0,0,0,0,KBOS      ,0,299,,,,,
MA0013ZZ,1,Massachusetts       ,1,2015,A,"X, Y, W, G",793165,443080,61575,0,0,523,18371,0,107,0,0,0,0,33231,50,0,0,233787,5496,KBOS      ,275,9,,,,,
MA0013ZZ,1,Massachusetts       ,2,2015,A,"X, Y, W, G",793165,440920,68305,0,0,1414,40349,0,103,0,0,0,0,33069,50,0,0,239958,5560,KBOS      ,675,0,,,,,
MA0013ZZ,1,Massachusetts       ,3,2015,A,"X, Y, W, G",793165,412640,70612,0,0,1735,42598,0,113,0,0,0,0,30948,46,0,0,288130,6981,KBOS      ,831,0,,,,,
MA0013ZZ,1,Massachusetts       ,4,2015,A,"X, Y, W, G",793165,455840,74173,0,0,2854,76656,0,96,0,0,0,0,34188,51,0,0,341499,7466,KBOS      ,1205,0,,,,,
MA0013ZZ,1,Massachusetts       ,5,2015,A,"X, Y, W, G",793165,405760,73468,0,0,2813,105989,0,96,0,0,0,0,30432,46,0,0,337198,7544,KBOS      ,1291,0,,,,,
MA0013ZZ,1,Massachusetts       ,6,2015,A,"X, Y, W, G",793165,419320,65926,0,0,2201,65454,0,96,0,0,0,0,35325,53,0,0,311280,7017,KBOS      ,983,0,,,,,
MA0013ZZ,1,Massachusetts       ,7,2015,A,"X, Y, W, G",793165,433920,54022,0,0,999,26929,0,105,0,0,0,0,32544,49,0,0,268382,6310,KBOS      ,507,0,,,,,
MA0013ZZ,1,Massachusetts       ,8,2015,A,"X, Y, W, G",793165,415600,66840,0,0,454,17259,0,105,0,0,0,0,31170,47,0,0,256190,6090,KBOS      ,142,59,,,,,
MA0013ZZ,1,Massachusetts       ,9,2015,A,"X, Y, W, G",793165,472640,82744,0,0,0,13772,0,90,0,0,0,0,35488,53,0,0,316928,7832,KBOS      ,106,91,,,,,
MA0013ZZ,1,Massachusetts       ,10,2015,A,"X, Y, W, G",793165,490560,105522,0,0,0,13772,0,113,0,0,0,0,36792,55,0,0,346025,7814,KBOS      ,1,280,,,,,
MA0013ZZ,1,Massachusetts       ,11,2015,A,"X, Y, W, G",793165,0,103891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55902416,10051,KBOS      ,0,299,,,,,
MA0050ZZ,1,Massachusetts       ,1,2015,A,"Z, W, X, Y",945421,1321040,175036,0,0,0,0,2094900,18505,0,0,0,0,99078,149,0,0,888138,15181,KBOS      ,275,9,,,,,
